id,질문,예상답변,정답
483,유럽에서 진행 중인 유전자편집기술 관련 청원의 목표는 무엇인가?,유럽에서 진행 중인 유전자 편집 기술 관련 청원의 목표는 주로 인간 배아의 유전자 편집을 금지하고 윤리적 기준을 마련하는 것입니다.,유럽 전역 시민 백만의 서명을 모으는 것을 목표로 하고 있음.
484,황금쌀이 개발된 지 얼마나 되었나요?,황금쌀은 2009년에 개발되었습니다.,이미 20년 전
485,유럽대마산업협회는 칸나비디올 함유 제품의 규제 조치에 대해 어떤 입장을 표명했나요?,"유럽대마산업협회는 칸나비디올 함유 제품에 대한 규제 강화를 우려하며, 산업 발전과 소비자 보호 사이의 균형을 강조하는 입장을 표명했습니다.",유럽대마산업협회는 칸나비디올 함유 제품에 대한 규제 조치가 '균형이 맞지 않고 무의미하다'고 비판하며 반대 의견을 표명했습니다.
486,유럽식품안전청이 카나비디올을 신식품으로 재분류한 이유는 무엇인가?,유럽식품안전청은 CBD의 의학적 효능과 안전성이 입증됨에 따라 신식품으로 재분류했습니다.,카나비디올과 헴프 유래 식품 보충제가 유럽 내에서 합법적으로 판매될 수 없음을 명확히 하기 위해 재분류되었다.
487,사우스오스트레일리아주에서 GM 작물 금지가 해제되는 시기는 언제인가요?,사우스오스트레일리아주에서 GM 작물 금지 관련 구체적인 해제 시기에 대한 공식 발표는 현재까지 없습니다. 정확한 날짜는 지역 정부의 공식 발표를 통해 확인해야 합니다.,12월입니다.
488,메인 주의 연어 양식업자들이 유전자변형 연어를 사용하지 않는 이유는 무엇인가?,메인 주의 연어 양식업자들이 유전자변형 연어를 사용하지 않는 주된 이유는 소비자들의 유전자 변형 식품에 대한 우려와 선호도 때문입니다.,"메인 주의 연어 양식업자들은 고객들이 매장에서 유전자변형 연어를 요구해야 하는 등의 변화가 있어야 한다고 주장하며, 현재로서는 유전자변형 연어 양식에 흥미가 없다고 밝혔기 때문이다."
489,브렉시트 이후 영국과의 국경에서 어떤 조치가 이루어질 예정인가요?,"브렉시트 이후에도 영국과의 국경 관리는 지속적으로 이루어지지만, 구체적인 새로운 조치 내용은 지속적으로 업데이트 되고 있어 정확한 정보 제공이 어렵습니다. 확인을 위해 관세청이나 정부 공식 발표를 참고하시기 바랍니다.","영국과의 국경에서 새로운 통제가 수행되어야 하며, 회원국들은 국경검사소를 설치하고 집행위는 이를 신속하게 승인하고 있습니다."
490,"Reily Foods Co., Inc가 회수 중인 마요네즈 제품의 회수 사유는 무엇인가요?","Reily Foods Co., Inc가 회수 중인 마요네즈 제품은 세균 오염으로 인한 식중독 우려로 회수되고 있습니다.",효모(yeast)로 인해 가스가 형성되어 병이 부풀어 마요네즈가 유출됨
491,영국 환경부 장관 마이클 고브는 식품 폐기물 저감을 위해 어떤 기업들이 2030년까지 식품 폐기물을 절반으로 줄이겠다고 서약했는가?,"영국 환경부 장관 마이클 고브와 관련된 특정 기업들의 서약 내용에 대한 최신 정보를 확인하지 못했으나, 일반적으로 이러한 목표 달성을 위해 참여하는 기업들은 슈퍼마켓 체인, 테이스티 푸드 등 대형 식품 기업들이 포함될 수 있습니다. 정확한 기업 명단은 공식 발표를 통해 확인해야 합니다.","네슬레, 테스코, 세인즈 베리, 웨이트로즈"
492,FDA가 식품 동일성 규격의 현대화를 통해 달성하고자 하는 주요 목표는 무엇인가?,FDA는 식품 동일성 규격의 현대화를 통해 소비자에게 일관되고 명확한 제품 정보 제공을 목표로 합니다.,"FDA는 현대화된 규격을 통해 소비자를 경제적 위화로부터 보호하고, 식품의 기본 특성, 필수 특성, 영양 무결성을 유지하며, 산업 혁신을 촉진하고 제조업체가 보다 건강한 식품을 생산하도록 권장하는 유연성을 제공하고자 한다."
493,세계도핑방지기구(WADA)가 2019년도에 금지 물질 리스트에 추가한 성분은 무엇인가?,2019년 세계도핑방지기구(WADA)가 금지 물질 리스트에 추가한 성분은 **성장 호르몬 (GH)** 입니다.,Epiandrosterine가 추가되었음.
494,영국의 주요 슈퍼마켓들이 2030년까지 음식물 쓰레기를 얼마나 줄이겠다고 서약했나요?,영국의 주요 슈퍼마켓들이 2030년까지 음식물 쓰레기를 **절반**으로 줄이겠다고 서약했습니다.,2030년까지 음식물 쓰레기를 반으로 줄이겠다는 공약에 서명했습니다.
495,"Kleinpeter Farms Dairy, LLC가 회수하는 제품의 이름은 무엇인가요?","Kleinpeter Farms Dairy, LLC는 ""Kleinpeter""라는 브랜드 이름의 제품을 회수합니다.","100% Orange Juice From Concentrate Pasteurized, 4 fl. oz. 종이 포장"
496,"Juices International, Inc.의 음료 회수 사유는 무엇인가요?","Juices International, Inc.의 특정 음료 회수 사유에 대한 정보는 공개 자료에서 명확하게 제공되지 않았습니다. 정확한 사유를 알고 싶으시다면 회사 측에 직접 문의하시는 것이 좋습니다.",가처분명령 위반으로 미국 식품의약품청(FDA)이 생산 쥬스를 회수하는 폐쇄장을 발행했기 때문입니다.
497,EU는 식품 폐기물 문제를 해결하기 위해 어떤 조치를 취하고 있나요?,"EU는 식품 폐기물을 줄이기 위해 'Food Waste Reduction Strategy'를 통해 소비자 인식 개선, 식품 유통 효율성 향상, 잉여 식품의 기부 장려 등의 조치를 취하고 있습니다.",EU는 회원국이 각 식품 공급 단계에서 식품 폐기물을 수량화할 수 있도록 지원하는 공통 식품 폐기물 측정법에 대해 명시한 위임법령을 채택했습니다.
498,캐나다 식품검사청이 냉동 디저트에서 발견한 미표시 알레르기 유발성분은 무엇인가?,캐나다 식품검사청이 냉동 디저트에서 발견한 미표시 알레르기 유발 성분에 대한 구체적인 정보는 공개되지 않았습니다. 정확한 성분은 공식 발표를 통해 확인해야 합니다.,"냉동 디저트에서 발견된 미표시 알레르기 유발성분은 글루텐, 콩, 아몬드, 우유 단백질 베타-락토글로불린(BLG), 카제인이다."
499,영국이 브라질로 돌려보낸 살모넬라 오염 닭고기의 양은 얼마인가?,영국이 브라질로 돌려보낸 살모넬라 오염 닭고기의 양에 대한 구체적인 수치는 공개 자료에서 명확하게 확인되지 않습니다. 정확한 양을 알고 싶으시다면 해당 기관의 공식 발표를 참고하시는 것이 좋습니다.,지난 15개월 간 반송된 가금류 물량은 총 1400t이다.
500,미시간주에서 CBD를 식품이나 음료에 첨가하는 것이 불법인 이유는 무엇인가?,"미시간주에서 CBD를 식품이나 음료에 첨가하는 것이 불법으로 간주되는 이유는 주로 연방법과 주법 간의 복잡한 관계 때문으로, 특정 CBD 제품이 THC 농도 기준을 초과할 경우 불법으로 분류될 수 있으며, 명확한 법률 지침이 변경될 때까지는 주의 규정에 따라 다를 수 있습니다. 하지만 일반적으로 명확한 불법 규정이 명시되어 있지 않은 경우, 연방법의 영향으로 인해 혼란이 발생할 수 있습니다. 정확한 법률 적용은 최신 법률 변경 사항에 따라 달라질 수 있습니다. 주어진 조건에 맞추어 간결하게 정리하자면: 미시간주에서는 특정 THC 농도 기준을 초과하는 CBD 제품이 불법으로 분류될 수 있으나, 명확한 규정이 미비하여 상황에 따라 다를 수 있습니다. 

**참고**: 최신 법률 상태를 확인하기 위해 공식 주 또는 연방 정부 웹사이트를 참조하는 것이 가장 정확합니다.",FDA가 그러한 제품의 사용을 승인하지 않았기 때문임.
501,Tim Campbell Farm flat parsley 제품의 회수 이유는 무엇인가요?,회수 이유에 대한 구체적인 정보가 제공되지 않았습니다. 추가 정보가 필요합니다.,제품에서 리스테리아 모노사이토제네스가 검출됨.
502,노스아일랜드 서해안에서 어떤 종류의 패류를 섭취하지 말아야 하나요?,노스아일랜드 서해안에서는 독성 패류인 **굴** 섭취를 피해야 합니다.,"홍합, 굴, 투아투아, 피피, 토헤로아, 새조개, 가리비, 캐츠아이, 키나 및 모든 쌍각류 패류는 먹지 말아야 합니다."
503,Red Monkey Foods Inc가 회수하는 건조 파슬리 제품의 유통기한은 언제인가요?,Red Monkey Foods Inc의 건조 파슬리 제품의 유통기한에 대한 구체적인 날짜 정보는 공개되지 않았습니다. 제품 포장에 명시된 유통기한을 확인하시기 바랍니다.,"World Market: BEST BY: 24 MAR 2023, Organics: BEST If Used By: MAR 25 23, Clearly Organic: Best If Used By MAR 25 2023, Great Value: BEST If Used By: MAR 11 2023, Full Circle: Best By: 11 MAR 2023"
504,덴마크에서 발생한 캠필로박터 감염의 원인으로 의심되는 제품은 무엇인가?,덴마크에서 발생한 캠필로박터 감염의 원인으로 의심되는 제품은 **닭고기**입니다.,보른홀름 유업의 저온 살균 우유
505,뉴질랜드에서 코로나 경보 4단계 동안 맥도날드 배달이 가능한가요?,뉴질랜드의 코로나 경보 4단계에서도 맥도날드 배달이 가능합니다. 하지만 지역의 구체적인 조치에 따라 다를 수 있으니 확인이 필요합니다.,"모든 식당, 카페 및 바는 배달을 포함하여 운영을 할 수 없다고 강조함."
506,독일에서 H5N8 고병원성 조류 인플루엔자가 처음 발생한 날짜는 언제인가요?,"독일에서 H5N8 고병원성 조류 인플루엔자가 처음 발생한 정확한 날짜에 대한 공식 기록은 명확하지 않으나, 이 바이러스 유형이 독일에서 처음으로 확인된 시기는 대략 2017년 초반으로 알려져 있습니다. 정확한 날짜 확인은 추가적인 공식 출처 확인이 필요합니다.",2020년 3월 27일입니다.
507,브라질산 닭날개에서 COVID-19 양성반응이 나왔다는 경고에 대해 WHO는 어떤 입장을 밝혔나요?,WHO는 브라질산 닭날개에서 발견된 COVID-19 양성반응에 대해 추가적인 정보 수집과 조사가 필요하다고 밝혔습니다.,"WHO는 지금까지 식품에서 COVID-19가 감염된 사례는 없다고 전하며, 식량 체인에는 문제가 없다고 밝혔습니다."
508,Lancaster Foods LLC가 회수한 적양파는 어떤 지역에 유통되었나요?,Lancashire Foods LLC가 회수한 적양파는 주로 미국 내 소매점과 식당에 유통되었습니다.,"미국 PA, AR, MD, MA, VA, DE, CT 지역 내 다양한 소매업체에 유통되었습니다."
509,캐나다에서 장염비브리오균 감염이 발생한 주는 어디인가요?,"캐나다에서 장염비브리오균 감염이 발생한 주에 대한 구체적인 정보는 제공된 문맥에서 확인할 수 없습니다. 특정 사례나 보고서 없이는 정확한 주를 지목하기 어렵습니다. 자세한 정보가 필요합니다. 하지만 일반적으로 이러한 감염은 온타리오, 퀘벡 등 인구 밀도가 높은 지역에서 보고되는 경향이 있습니다. 정확한 주를 알려드리려면 최신 보건 보고서가 필요합니다.","서스캐처원, 퀘벡, 뉴브런즈윅, 프린스에드워드아일랜드"
510,캐나다 정부는 중국 우한 지역 방문 시 어떤 음식을 피하라고 권고했나요?,"캐나다 정부는 중국 우한 지역 방문 시 익스트라 버진 올리브 오일을 함유한 음식 섭취를 피하라고 권고했습니다. 하지만 주요 권고 사항은 주로 특정 식당이나 시장에서 판매되는 날생선이나 덜 익은 고기 등에 초점을 맞추고 있습니다. 주어진 조건에 정확히 부합하는 정보만을 제공하자면, 명확한 언급은 제한적입니다. 일반적으로 안전한 권고 사항으로는 덜 익힌 고기와 생선을 피하는 것이 포함됩니다.",날 것이나 덜 익은 음식 및 육류를 멀리하여 안전하게 먹고 마실 것을 권고했습니다.
511,동유럽에서 아프리카돼지열병이 가장 많이 발생한 국가는 어디인가요?,"동유럽에서 아프리카돼지열병이 가장 많이 발생한 국가에 대한 정확한 최신 통계는 제공되지 않았지만, 일반적으로 발병 사례가 많은 국가로는 폴란드와 헝가리 등이 알려져 있습니다. 정확한 랭킹을 제공하기 위해서는 최신 데이터가 필요합니다. 주어진 조건에 따라 가장 발병 사례가 많았던 국가로 **폴란드**를 예로 들 수 있습니다 (참고로 이는 예시 답변이며, 실제 최다 발생 국가는 상황에 따라 달라질 수 있습니다).","헝가리, 폴란드, 루마니아가 유럽에서 가장 많은 ASF건수를 보고하고 있습니다."
