id,질문,예상답변,정답,제목,gold문서
640,CONAGRA BRANDS가 회수하는 Udi Gluten Free Banana Chocolate Chip Muffins의 회수 사유는 무엇인가요?,해당 문서에 없음.,이물(플라스틱) 혼입 가능성,"[E/R]미국 CONAGRA BRANDS, 이물(플라스틱) 혼입 가능성으로 머핀 회수","[E/R]미국 CONAGRA BRANDS, 이물(플라스틱) 혼입 가능성으로 머핀 회수 -지역: 미국 전역 및 캐나다-회수사: CONAGRA BRANDS (회수중, 회수일: 5/6/2021)-회수사유: 이물(플라스틱) 혼입 가능성-제품명: 1) Udi Gluten Free Banana Chocolate Chip Muffins, 10oz 소매용기 당 머핀 4개, 도매 케이스 당 6개 소매용기. 소매용기 UPC: 00-6-98997-81012-4(Lot code 1F11071G31 Best By 11JUL21)2) Udi Gluten F..."
641,"More Than Gourmet, Inc.에서 회수한 쇠고기 수프 제품의 회수 사유는 무엇인가요?","More Than Gourmet, Inc.에서 회수한 쇠고기 수프 제품의 회수 사유는 이물질 오염 가능성 때문입니다.",이물질 오염 가능성,"[회수] 미국 More Than Gourmet, Inc., 이물질 오염 가능성으로 인해 쇠고기 수프 제품 회수","[회수] 미국 More Than Gourmet, Inc., 이물질 오염 가능성으로 인해 쇠고기 수프 제품 회수 - 일자: 2021.04.24.- 유통지역: 미국 전역 소매점 및 유통업체- 회수사: More Than Gourmet, Inc.- 생산일: 2021년 3월 1일, 2021년 4월 7일, 2021년 4월 8일- 제품명:  1. KITCHEN ACCOMPLICE ORGANIC Beef BONE BROTH Concentrate(플라스틱 스퀴즈 병, 12온스)   - Lot code : MFGA21060A5613, MFGA2106..."
642,Piller's 브랜드의 훈제 칠면조 가슴살 제품이 회수된 이유는 무엇인가요?,플라스틱 이물 혼입 때문입니다.,플라스틱 이물 혼입,"[회수] 캐나다 Piller's Fine Foods, 플라스틱 이물 혼입으로 훈제 칠면조 가슴살 제품 회수","[회수] 캐나다 Piller's Fine Foods, 플라스틱 이물 혼입으로 훈제 칠면조 가슴살 제품 회수 -일시 : 2021.1.26(발표일자 : 2021.1.27)-지역 : 캐나다 온타리오 -제품명 : Smoked Turkey Breast(브랜드 : Piller's, 중량 : 	2 x 200 g, 품질유지기한 : 2021 FE 02 EST 550, UPC : 0 69401 07665 6)-회수사유 : 플라스틱 이물 혼입-회수사 : Piller's Fine Foods-제품사진 : -..."
643,Franco’s Ices의 Mr Bubble 아이스캔디가 회수된 이유는 무엇인가요?,금속 조각 혼입으로 인한 안전 문제 때문입니다.,금속 조각 혼입,"[회수]영국 Franco’s Ices, 금속 조각 혼입으로 아이스캔디 회수","[회수]영국 Franco’s Ices, 금속 조각 혼입으로 아이스캔디 회수 -일자 : 2021.4.30-제품명 : Mr Bubble (Bubble Gum Flavour Ice Lolly)(*풍선껌 맛 아이스캔디, 중량 : 70ml, 배치코드 : 03193, Best before : 2023년10월 말)-회수사 : Franco’s Ices-회수사유 : 금속 조각 혼입-제품사진 : https://s3-eu-west-1.amazonaws.com/fsa-alerts-files/production/FSA-PRIN-27-2021/Francos..."
644,Nestlé UK에서 회수한 SMA WYSOY Infant Formula의 회수 사유는 무엇인가요?,파란색 플라스틱 조각 혼입으로 인한 것입니다.,파란색 플라스틱 조각 혼입,"[확대회수]영국 Nestlé UK, 플라스틱 조각 혼입으로 조제분유 회수","[확대회수]영국 Nestlé UK, 플라스틱 조각 혼입으로 조제분유 회수 - 일자: 2021.3.30- 회수사: Nestlé UK- 제품상세: 1) SMA WYSOY Infant Formula ; pack size: 800g (배치코드 : 923357651Z, best before: 2021.8.20)2) 928957651Z, 팩용량: 15 October 20213) 000957651Z, 팩용량: 8 January 20224) 015757651Z, 팩용량: 5 June 20225) 024957651Z, 팩용량: 5 September..."
645,세계보건기구 유럽 지역 사무국장이 언급한 식품 안전 문제의 심각성은 어느 정도인가?,"매년 유럽과 중앙 아시아에서 안전하지 않은 식품으로 인해 2,300만 명 이상이 식품 매개 질병에 걸리고, 이로 인해 예방 가능한 죽음이 5,000명에 달하는 수준은 심각한 위협으로 받아들여졌습니다.","세계보건기구 유럽 지역 사무국장 Hans Kulge는 매년 유럽과 중앙 아시아에서 2,300만 명이 넘는 사람들이 식품 매개 질병에 걸리며, 5,000명의 예방 가능한 죽음이 발생한다고 밝혔습니다.","세계보건기구 EU 사무국장, 안전하지 않은 음식으로 아프거나 죽는 사람들의 수가 많으며 용납할 수 없는 수준이라고 밝혀","세계보건기구 EU 사무국장, 안전하지 않은 음식으로 아프거나 죽는 사람들의 수가 많으며 용납할 수 없는 수준이라고 밝혀 세계보건기구(WHO) 유럽 지역 사무국장 Hans Kulge는 세계 식품 안전의 날(World Food Safety Day)에 진행된 웹비나에서, 안전하지 않은 식품으로 인해 병에 걸리거나 사람들의 수가 엄청나며, 용납할 수 없는 수준이라고 밝혔음.매년 유럽과 중앙 아시아에서, 2,300만 명이 넘는 사람들이 식품 매개 질병에 걸리며, 대부분 빈곤층과 어린이들이 대부분 영향을 받음. 2015년에 발표된 WHO 통계..."
646,Ruan Korea Co Ltd의 인삼 제품이 미국 FDA에 의해 부적합 판정을 받은 이유는 무엇인가요?,"Ruan Korea Co Ltd의 인삼 제품이 부적합 판정을 받은 이유는 제조업체가 저산성식품 제조업체로 등록되지 않았고, 제조공정에 대한 제출 자료도 미비했기 때문입니다. 해당 문서에 없음.","Ruan Korea Co Ltd의 인삼 제품은 저산성식품 제조업체로 등록하지 않았고, 제조공정을 제출하지 않아 비위생적인 조건에서 제조된 것으로 간주되어 부적합 판정을 받았습니다.","미국 FDA, 2021년 5월 수입부적합(2)","미국 FDA, 2021년 5월 수입부적합(2) -제조사식별번호: 3010683346-제조사명: Ruan Korea Co Ltd  -주소지 1: 205 Yeoksam-Ro Yeoksam-Dong Gangnam-Gu  -주소지 2: -도시명: Seoul  -지역명: -국가: 대한민국-제품코드: 54FAK12  -제품설명: 인삼 (허브 및 식물류, 다류 외 제품)(GINSENG (HERBAL  BOTANICALS, NOT TEAS))-부적합일자: 13-May-2021  -FDA 지역사무소: DWCI  -통관 식별번호/참고문서/라인번호/기..."
647,JD's Market Inc.이 경고장을 받은 주요 위반 내용은 무엇인가요?,JD's Market Inc.이 경고장을 받은 주요 위반 내용은 수입 제품에 대한 해외공급자검증프로그램(FSVP) 미준수입니다.,수입 제품에 대한 해외공급자검증프로그램(FSVP) 미준수,"미국 식품의약품청, 연방 식품안전규정 위반으로 업체 1곳에 경고장 발부","미국 식품의약품청, 연방 식품안전규정 위반으로 업체 1곳에 경고장 발부 미국 식품의약품청(FDA)은 연방 식품안전규정 위반과 관련한 경고장을 다음과 같이 발부했음. 경고장 수신 업체는 15일 이내에 경고장에 회신을 해야 하며, 업체의 시정 조치가 적절하지 않을 경우 제품 압류와 영업정지 같은 법적 조치가 이루어질 수 있음. 1. JD's Market Inc. (Lynnwood, WA)- 경고장 발부일: 2021.10.15.- 원격실사일: 2021.05.03., 05.17-21.- 주요 위반내용: 수입 제품에 대한 해외공급자검증프로그..."
648,유럽집행위원회가 제안한 신규 토양 전략의 주요 목표는 무엇인가?,유럽집행위원회가 제안한 신규 토양 전략의 주요 목표는 2050년까지 모든 토양 생태계를 건강하게 회복시키는 것임.,"농토의 토양탄소를 증가시키고, 사막화를 해소하고 황폐화된 토지를 복구시켜 2050년까지 모든 토양 생태계를 건강하게 회복시키는 것.","유럽집행위원회, 토양 보전을 위한 새로운 전략 채택","유럽집행위원회, 토양 보전을 위한 새로운 전략 채택 -관련 기수집 정보: 유럽집행위원회, 토양 오염 예방 관련 새로운 전략 수립을 위한 공개 의견 수렴 실시(수집일자: 2021-02-03)17일 유럽연합집행위는 EU그린딜 실현에 필수적인 3개의 신규 이니셔티브를 채택했음. 집행위는 EU국에 의해 야기된 산림파괴를 억제하기 위한 신규 규정, 순환경제를 위해 EU 역내 국가 간 폐기물 선적 장려 및 제3국으로의 불법 폐기물 수출과 폐기물 문제 해결을 위한 신규 규정을 제안함. 집행위는 EU주도의 삼림 파괴와 숲 파괴를 억제하기 위한 신..."
649,SAN Corporation이 회수하는 제품의 이름은 무엇인가요?,SAN Corporation이 회수하는 제품의 이름은 **Tight! Xtreme Reloaded: 120 정 (제공량: 3정)** 입니다.,Tight! Xtreme Reloaded: 120 정,"[E/R]미국 SAN Corporation, 신규식이성분 검출로 식이보충제 회수","[E/R]미국 SAN Corporation, 신규식이성분 검출로 식이보충제 회수 -지역: 미국 KY, NV, AR, CA. 러시아, 일본 및 스페인.-회수사: SAN Corporation (회수중, 회수일: 6/17/2021)-회수사유: FDA 검사결과, 신규식이성분 호데닌(Hordenine)이 검출됨.-제품명: Tight! Xtreme Reloaded: 120 정 (제공량: 3정) UPC 6072898 12591 4.(C1909182 MFG 11-2019 EXP 11-2022). 성분: Evapor8 Total Body Fat A..."
650,Pillar Performance 제품 중 회수된 식이보충제는 무엇인가요?,"회수된 Pillar Performance 식이보충제는 Pillar Ultra B Active 60, Pillar Zinc Immune 90, 그리고 Pillar Vitamin C + Zinc Immune 90입니다.","Pillar Ultra B Active 60, Pillar Zinc Immune 90, Pillar Vitamin C + Zinc Immune 90입니다.","[회수]뉴질랜드 Nutrition Systems NZ Pty Ltd, 식이보충제 규정 미충족으로 식이보충제 3종 회수","[회수]뉴질랜드 Nutrition Systems NZ Pty Ltd, 식이보충제 규정 미충족으로 식이보충제 3종 회수 - 일자: 2021.09.6. (발표일자: 2021.09.13.)- 회수사: Nutrition Systems NZ Pty Ltd- 제품명: 모든 배치의 제품.1) Pillar Performance - Pillar Ultra B Active 602) Pillar Performance - Pillar Zinc Immune 903) Pillar Performance - Pillar Vitamin C + Zinc Immun..."
651,Food Evolution에서 회수하는 제품의 제조 기간은 언제부터 언제까지인가요?,제조 기간은 2020년 11월 9일부터 2021년 1월 29일까지입니다.,해당 제품은 2020년 11월 9일부터 2021년 1월 29일까지 제조되었습니다.,"[회수] 미국 Food Evolution, 연방검사 미필 육류를 함유한 즉석섭취 소스 및 샐러드 회수","[회수] 미국 Food Evolution, 연방검사 미필 육류를 함유한 즉석섭취 소스 및 샐러드 회수 미국 농무부(USDA) 식품안전검사국(FSIS)은 Food Evolution(사)가 연방검사 없이 생산된 육류를 함유한 즉석섭취 소스 및 샐러드 6,806 파운드를 회수한다고 발표함. 해당 제품은 2020년 11월 9일부터 2021년 1월 29일까지 제조되었으며, USE BY 날짜는 2021년 2월 6일까지임. [제품정보]- 유통지역: 미국 일리노이 소매점- 제품명: 1) Taco Dip With Refried Beans, Chil..."
652,Wholey Milk Company가 개발한 우유의 냉장 보관 수명은 얼마나 되나요?,"해당 문서에 따르면, Wholey Milk Company가 개발한 우유의 냉장 보관 수명은 최소 60일입니다.",최소 60일,"호주 회사, 우유 유통기한 두달로 늘리는 공장 건설을 위한 연방 정부 자금 지원 받아...","호주 회사, 우유 유통기한 두달로 늘리는 공장 건설을 위한 연방 정부 자금 지원 받아... 냉장고에서 2개월 동안 신선하게 유지되는 우유는 호주 연구 덕분에 과학적 현실이 됨.  퀸즐랜드의 한 회사는 저장 수명이 더 긴 우유를 처리하는 세계 최초의 특허 기술 공장을 건설하기 위해 연방 정부 자금을 지원 받았음. The Wholey Milk Company는 웹 사이트에서이 기술이 ""1864 년 저온 살균 이후 세계 우유 산업에서 가장 큰 돌파구""라고 어급함.  ""100 % 천연 신선한 우유, 최소 60 일의 신선한 냉장 보관 수명, ..."
653,"Avanza Pasta, LLC.가 회수하는 제품의 유통지역은 어디인가요?","Illinois, Indiana and Wisconsin의 식당, 유통업체, 소매점","Illinois, Indiana and Wisconsin의 식당, 유통업체, 소매점","[회수] 미국 Avanza Pasta, LLC., 연방검사 미필로 쇠고기 및 가금 제품 65종 회수","[회수] 미국 Avanza Pasta, LLC., 연방검사 미필로 쇠고기 및 가금 제품 65종 회수 미국 농무부(USDA) 식품안전검사국(FSIS)은 Avanza Pasta, LLC.가 연방검사 없이 생산된 육류 및 가금류 파스타 제품 2,237 파운드를 회수한다고 발표함.육류 및 가금류 라비올리(ravioli) 와 토텔리니(tortellini) 제품은 2019년 10월 5일부터 2021년 3월 12일까지 제조되었음. [제품정보]- 일자 : 2021.03.20.- 유통지역 : Illinois, Indiana and Wisconsin..."
654,Kerry Global Technology Innovation Center가 회수한 Garlic Alfredo Sauce의 회수 사유는 무엇인가요?,"해당 문서에 회수 사유로 명시된 내용은 없으며, 제품의 회수는 비식품 수준의 소포제로 제조되었기 때문으로 추정됩니다만, 이는 명확한 근거가 아닙니다. 해당 문서에 없음.",비식품 수준의 소포제로 제조되었음.,"[E/R]미국 Kerry Global Technology Innovation Center, 비식품 수준의 소포제로 소스 2종 회수","[E/R]미국 Kerry Global Technology Innovation Center, 비식품 수준의 소포제로 소스 2종 회수 -지역: 미국 AZ, CO, OK, TX, WI.-회수사: Kerry Global Technology Innovation Center (회수중, 회수일: 5/4/2021)-유통사: Kerry Inc., Beloit, WI 53511.-회수사유: 비식품 수준의 소포제로 제조되었음.-제품명: 1) Garlic Alfredo Sauce. 제품코드: 20607981. 냉동보관. 순중량: 30 lb. (13.61..."
655,SAMYANG PACKAGING CORP의 무알콜 음료가 미국 FDA에서 부적합 판정을 받은 이유는 무엇인가?,SAMYANG PACKAGING CORP의 무알콜 음료가 미국 FDA에서 부적합 판정을 받은 이유는 해당 제조업체가 저산성 통조림식품 제조업체로 등록되지 않았기 때문입니다.,제조업체가 저산성 통조림식품 또는 산성화식품 제조업체로 등록하지 않았기 때문입니다.,"미국 FDA, 2021년 1월 수입부적합(24)","미국 FDA, 2021년 1월 수입부적합(24) -제조사식별번호: 3014277293-제조사명: SAMYANG PACKAGING CORP  -주소지 1: 114 Jughyeon Gil Jinceo  -주소지 2: -도시명: Chungcheongbugdo  -지역명: -국가: 대한민국-제품코드: 29CGY99  -제품설명: 무알콜 음료 등(NONALCOHOLIC BEVERAGES, N.E.C.)-부적합일자: 22-Jan-2021  -FDA 지역사무소: DWCI  -통관 식별번호/참고문서/라인번호/기타: 9WF-1028458-8/21/..."
656,국제원자력기구(IAEA)는 후쿠시마 원전 오염수 방류 계획을 검토하기 위해 몇 명의 전문가를 일본에 파견했나요?,6명의 전문가를 일본에 파견했습니다.,국제원자력기구(IAEA)는 6명의 전문가를 일본에 파견했습니다.,"국제원자력기구, 후쿠시마 원전 오염수 방류 계획 검토 위해 전문가 그룹 파견","국제원자력기구, 후쿠시마 원전 오염수 방류 계획 검토 위해 전문가 그룹 파견 * 참고 기수집정보: 국제원자력기구, 후쿠시마 제1원자력발전소 인근 해수, 해양 퇴적물 및 어류 샘플 수집 예정(수집일자: 2021-11-06) 국제원자력기구(IAEA)는 15일 후쿠시마 원전에서 발생된 처리된 방사능 오염수의 방류를 위한 준비사항 평가를 위해 전문가팀을 일본에 파견함. 일본의 공식 발표에 따르면, 국제원자력기구(IAEA)의 팀은 계획 방류의 기술적 세부정보 토론을 위해 후쿠시마 다이이치 공장을 방문함. 지난 4월 도쿄전력과 일본 정부는 발..."
